,strategy,total_return,cagr,sharpe,sortino,max_dd,profit_factor,trades,win_rate
1,RSI (14),214.8,21.1,0.6186,0.7768,-78.5,1.0109,527,50.1
2,EMA Cross 50/200,112.9,13.4,0.5112,0.6401,-84.9,1.009,470,50.0
3,EMA + RSI Filter,23.8,3.6,0.3619,0.4541,-89.5,1.0064,533,49.9
4,Keltner Channel,-19.2,-3.5,0.2472,0.3081,-83.2,1.0043,890,49.9
5,"Supertrend (10,3)",-31.7,-6.2,0.2022,0.2556,-87.8,1.0036,1641,49.7
6,Bollinger Bands,-42.5,-8.8,0.1533,0.192,-91.9,1.0027,1738,50.2
7,EMA Cross 20/50,-67.6,-17.1,-0.004,-0.0051,-94.5,0.9999,1525,49.6
8,VWAP,-83.5,-25.9,-0.1872,-0.2343,-98.2,0.9967,973,49.8
9,Stochastic RSI,-99.1,-54.4,-0.9798,-1.2276,-99.8,0.9831,3106,50.1
10,EMA Cross 9/21,-99.7,-62.7,-1.2996,-1.6504,-99.9,0.9776,3707,49.1
11,MACD (12/26/9),-100.0,-83.9,-2.6428,-3.3191,-100.0,0.955,5966,49.0
12,OBV Trend,-100.0,-97.4,-5.536,-7.0438,-100.0,0.9094,11121,49.1
