,overbought,oversold,total_return,cagr,sharpe,sortino,max_dd,profit_factor,trades,win_rate
1,75,35,1086.2,51.0,0.9827,1.2415,-73.4,1.0173,405,50.2
2,75,30,742.6,42.7,0.8889,1.1201,-75.0,1.0157,351,50.1
3,80,35,708.7,41.7,0.8778,1.1061,-71.4,1.0155,197,50.2
4,80,20,702.6,41.5,0.8765,1.1064,-77.2,1.0155,119,50.0
5,70,35,669.2,40.5,0.8636,1.0871,-68.3,1.0152,665,50.2
6,80,30,317.5,26.9,0.6962,0.8762,-88.4,1.0123,175,50.1
7,75,20,270.5,24.4,0.6634,0.838,-64.4,1.0117,169,49.9
8,70,30,214.8,21.1,0.6186,0.7768,-78.5,1.0109,527,50.1
9,80,25,192.3,19.6,0.5982,0.7532,-92.7,1.0105,147,50.0
10,75,25,129.3,14.8,0.5316,0.6689,-87.9,1.0093,251,50.0
11,65,35,12.9,2.0,0.3376,0.4229,-85.4,1.0059,952,50.1
12,70,25,-16.7,-3.0,0.2536,0.3186,-90.8,1.0044,366,49.9
13,65,30,-35.0,-6.9,0.1862,0.233,-89.9,1.0033,692,50.0
14,70,20,-35.4,-7.0,0.1832,0.232,-86.8,1.0032,213,49.8
15,65,25,-61.3,-14.7,0.043,0.0539,-93.3,1.0008,454,49.8
16,65,20,-67.6,-17.1,-0.006,-0.0076,-93.8,0.9999,241,49.7
