,strategy,total_return,cagr,sharpe,sortino,max_dd,profit_factor,total_trades,win_rate
1,Keltner Channel,242.44,22.78,0.714,0.682,-55.88,1.034,560,50.5
2,EMA Cross 50/200,238.17,22.52,0.711,0.656,-64.82,1.033,322,50.9
3,EMA + RSI Filter,205.21,20.45,0.655,0.604,-46.36,1.031,272,50.5
4,EMA Cross 20/50,88.16,11.11,0.464,0.444,-65.54,1.022,978,50.1
5,Bollinger Bands,52.74,7.32,0.381,0.334,-48.96,1.019,1221,51.1
6,VWAP,-8.06,-1.39,0.169,0.147,-75.87,1.009,960,50.2
7,"Supertrend (10,3)",-10.44,-1.82,0.153,0.143,-74.62,1.007,1138,49.8
8,RSI (14),-35.21,-6.98,0.056,0.05,-71.58,1.003,379,50.1
9,EMA Cross 9/21,-64.37,-15.8,-0.221,-0.221,-86.33,0.99,2411,48.7
10,Stochastic RSI,-87.2,-29.02,-0.624,-0.547,-91.73,0.97,2042,50.9
11,MACD (12/26/9),-90.63,-32.61,-0.765,-0.747,-96.41,0.964,3997,48.1
12,OBV Trend,-99.67,-61.51,-2.121,-2.203,-99.74,0.907,7621,48.4
