,strategy,total_return,cagr,sharpe,sortino,max_dd,profit_factor,total_trades,win_rate
1,EMA + RSI Filter,1492.19,58.63,1.081,1.364,-56.14,1.038,102,50.5
2,Bollinger Bands,952.34,48.05,0.963,1.209,-67.9,1.034,445,50.7
3,RSI (14),500.95,34.85,0.803,1.017,-77.55,1.028,135,50.4
4,EMA Cross 50/200,478.6,34.0,0.794,0.991,-76.44,1.028,124,50.7
5,Keltner Channel,334.24,27.74,0.711,0.893,-65.11,1.025,241,50.7
6,VWAP,202.97,20.3,0.609,0.764,-75.1,1.021,396,50.5
7,EMA Cross 20/50,167.16,17.8,0.573,0.718,-81.05,1.02,360,50.4
8,"Supertrend (10,3)",69.01,9.14,0.443,0.557,-85.07,1.015,428,50.3
9,Stochastic RSI,-12.09,-2.12,0.257,0.321,-89.53,1.009,753,50.5
10,EMA Cross 9/21,-40.02,-8.17,0.15,0.191,-90.02,1.005,887,49.8
11,MACD (12/26/9),-50.21,-10.98,0.099,0.126,-95.91,1.003,1471,49.6
12,OBV Trend,-95.93,-41.36,-0.6,-0.766,-99.29,0.98,2715,49.8
